                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.767,                 3.0599,                 1.8099,                 1.8011,                 4.7215,                 1.7437,                0.38599,                0.26365,                0.15727,                0.08042,                 1.7574,                  3.789,                 1.7808,                 1.7636,                 4.6894,                 1.6558,              0.0002176,              0.0002176,              0.0002176
                      2,                 1.6438,                 2.3655,                 1.6758,                 1.7175,                 3.1725,                 1.5933,                0.09915,                0.14665,                0.05811,                0.02851,                 2.0721,                 29.867,                 2.1314,                 2.0999,                 91.618,                 1.9815,             0.00043123,             0.00043123,             0.00043123
                      3,                 1.7188,                 2.3622,                 1.7474,                 1.7788,                 2.9024,                 1.6471,                0.17868,                0.13473,                0.08575,                0.03435,                 1.9185,                 3.3578,                 2.0245,                 1.9981,                 10.023,                 1.8411,             0.00063604,             0.00063604,             0.00063604
                      4,                 1.6743,                 2.3421,                 1.7369,                 1.7734,                 2.8252,                 1.6301,                0.24923,                 0.2651,                0.15698,                0.06751,                 1.7617,                 2.8091,                 1.7914,                 1.8756,                 3.0695,                 1.6501,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.6797,                 2.2306,                 1.7225,                 1.7922,                 2.6549,                 1.6205,                0.15731,                0.28242,                0.13357,                0.05793,                 1.8786,                 2.9033,                 1.8748,                 1.9832,                 3.3836,                  1.772,             0.00062738,             0.00062738,             0.00062738
                      6,                 1.6026,                   2.15,                  1.654,                 1.7111,                 2.5148,                 1.5694,                0.34779,                0.22595,                0.15547,                0.07104,                 1.8089,                 2.3909,                 1.8546,                 1.8869,                 2.8082,                 1.7428,             0.00061417,             0.00061417,             0.00061417
                      7,                  1.546,                 2.0333,                 1.5941,                 1.6921,                  2.378,                  1.523,                0.32621,                0.22118,                0.16441,                 0.0779,                 1.6635,                   2.51,                 1.7795,                 1.8187,                 2.7662,                 1.6862,             0.00060097,             0.00060097,             0.00060097
                      8,                 1.4744,                 1.9583,                 1.5573,                 1.6476,                 2.2874,                 1.5055,                0.53501,                0.27358,                0.19472,                0.09214,                 1.6901,                 2.0961,                 1.7525,                 1.7979,                 2.3257,                 1.6783,             0.00058776,             0.00058776,             0.00058776
                      9,                 1.4599,                 1.9793,                 1.5783,                 1.6237,                 2.2996,                 1.5254,                0.37336,                0.29016,                0.19018,                0.09301,                 1.5493,                 2.0412,                 1.6063,                  1.705,                 2.2538,                 1.5392,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.5056,                 2.0199,                 1.6013,                 1.6538,                  2.338,                 1.5454,                0.47434,                0.15383,                  0.127,                0.05217,                 2.1148,                 2.5196,                 2.0297,                 2.2134,                 2.9201,                 1.9239,             0.00056135,             0.00056135,             0.00056135
