                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4788,                 3.3402,                  1.269,                 1.5609,                 4.6137,                 1.1535,                0.83044,                0.09517,                0.12694,                0.09265,                 1.5929,                 3.1706,                 1.2671,                 1.5657,                 5.2257,                 1.0958,             0.00025396,             0.00025396,             0.00025396
                      2,                 1.5255,                 2.0884,                 1.2926,                 1.5978,                 3.4797,                 1.1507,                0.52853,                0.32844,                0.26821,                0.16169,                 1.5862,                 2.2634,                 1.3563,                 1.5667,                 4.2372,                 1.1713,             0.00050019,             0.00050019,             0.00050019
                      3,                 1.5016,                 1.8292,                 1.3016,                 1.5716,                 3.0904,                  1.168,                0.51737,                0.38205,                0.35215,                0.19966,                 1.5335,                    2.5,                 1.3595,                 1.5708,                 4.0598,                  1.196,             0.00073627,             0.00073627,             0.00073627
                      4,                 1.4635,                 1.7331,                 1.2989,                 1.5723,                 2.9415,                 1.1779,                0.46256,                0.41339,                0.40311,                0.23599,                 1.5336,                 1.9181,                  1.324,                 1.5799,                 3.4565,                 1.1941,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.4354,                 1.6664,                 1.2839,                 1.5634,                 2.7662,                 1.1848,                0.48383,                0.46241,                0.44235,                0.24866,                 1.5138,                 1.8589,                   1.31,                 1.6002,                  3.255,                 1.2101,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.3972,                 1.5713,                 1.2696,                 1.5585,                 2.5432,                 1.1788,                0.58382,                0.45913,                0.43604,                0.26366,                 1.4812,                  1.735,                 1.2757,                 1.5492,                 3.0216,                 1.1764,              0.0007081,              0.0007081,              0.0007081
                      7,                  1.374,                 1.5188,                 1.2388,                 1.5135,                 2.3744,                 1.1578,                0.59277,                0.47522,                 0.4818,                0.28769,                 1.4829,                 1.6615,                 1.2859,                 1.5511,                 2.8344,                 1.1863,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.3555,                 1.4255,                 1.2406,                 1.5131,                 2.2136,                 1.1531,                0.48286,                0.52456,                0.49415,                0.29072,                 1.4577,                 1.5554,                 1.2526,                 1.5424,                  2.584,                 1.1617,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.3344,                 1.3762,                 1.2223,                  1.484,                 2.0826,                 1.1433,                0.46903,                0.50405,                0.52109,                0.31898,                 1.4516,                 1.5477,                 1.2595,                 1.5316,                 2.4512,                 1.1721,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.3192,                 1.3589,                 1.2214,                 1.4744,                 2.0022,                 1.1454,                0.46435,                0.54442,                 0.5228,                0.32412,                 1.4285,                 1.4869,                 1.2524,                 1.5164,                  2.275,                 1.1507,             0.00064719,             0.00064719,             0.00064719
                     11,                 1.3131,                 1.3263,                 1.2258,                 1.4807,                  1.947,                 1.1488,                0.49765,                0.55272,                0.54876,                0.33985,                 1.4148,                 1.5084,                 1.2412,                 1.5009,                 2.2309,                 1.1626,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.2954,                 1.2816,                 1.2038,                 1.4703,                 1.8703,                 1.1381,                0.51666,                0.54503,                0.55826,                0.35047,                 1.4294,                 1.4103,                 1.2435,                 1.5024,                 2.0728,                 1.1649,             0.00061674,             0.00061674,             0.00061674
